,Team,country_full
3,North Vietnam,
4,North Korea,
5,Găgăuzia,
6,Kyrgyzstan,
7,Greenland,
8,Northern Cyprus,
9,Tibet,
44,German DR,
48,Yemen DPR,
54,South Korea,
58,Ivory Coast,
65,Iran,
79,Cape Verde,
91,Cascadia,
100,DR Congo,
109,Vatican City,
115,Galicia,
129,Brittany,
130,Silesia,
144,Basque Country,
146,French Guiana,
147,Guadeloupe,
152,Andalusia,
154,Palau,
158,Réunion,
170,Martinique,
187,Corsica,
190,Kernow,
192,Catalonia,
196,Barawa,
198,Central Spain,
199,Madrid,
204,Yorkshire,
207,Vietnam Republic,
208,Northern Mariana Islands,
209,Taiwan,
211,Micronesia,
216,Saint Martin,
217,Tuvalu,
219,Abkhazia,
220,Manchukuo,
221,Ynys Môn,
225,Saint Lucia,
227,Monaco,
231,Zanzibar,
234,Saint Vincent and the Grenadines,
235,Mayotte,
238,Parishes of Jersey,
239,Brunei,
240,Saint Kitts and Nevis,
241,Canary Islands,
244,Jersey,
248,Sint Maarten,
249,United States Virgin Islands,
250,Guernsey,
251,Artsakh,
252,Saarland,
254,Isle of Wight,
255,Orkney,
256,Rhodes,
257,Menorca,
258,Gotland,
259,Saare County,
260,Isle of Man,
261,Frøya,
262,Falkland Islands,
263,Shetland,
264,Åland Islands,
265,Hitra,
266,Western Isles,
267,Alderney,
268,Sark,
269,Republic of St. Pauli,
272,Kiribati,
273,Iraqi Kurdistan,
274,Raetia,
275,Darfur,
276,Tamil Eelam,
277,Provence,
278,Western Sahara,
279,Occitania,
280,Padania,
281,Sápmi,
282,Gozo,
283,Arameans Suryoye,
284,Bonaire,
285,Chagos Islands,
286,Western Australia,
287,Wallis Islands and Futuna,
288,Niue,
291,Somaliland,
292,Matabeleland,
293,Kabylia,
294,Panjab,
295,Ellan Vannin,
296,Kárpátalja,
297,Western Armenia,
298,United Koreans in Japan,
299,Székely Land,
300,South Ossetia,
301,County of Nice,
302,Yoruba Nation,
303,Biafra,
304,Saint Pierre and Miquelon,
305,Romani people,
306,Felvidék,
307,Chameria,
308,Saint Helena,
309,Mapuche,
310,Aymara,
311,Crimea,
312,Asturias,
313,Surrey,
314,Two Sicilies,
315,Maule Sur,
316,,Netherlands Antilles
317,,Côte d'Ivoire
318,,Congo DR
319,,Cape Verde Islands
320,,Curacao
321,,IR Iran
322,,Kyrgyz Republic
323,,Korea Republic
324,,St. Lucia
325,,FYR Macedonia
326,,Korea DPR
327,,St. Kitts and Nevis
328,,Sao Tome e Principe
329,,Swaziland
330,,Chinese Taipei
331,,St. Vincent and the Grenadines
332,,St. Vincent / Grenadines
333,,US Virgin Islands
334,,Zaire
335,,Cabo Verde
336,,Serbia and Montenegro
337,,Türkiye
338,,São Tomé e Príncipe
